cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,category
108822,35.35491103202847,3330,15.189008642602948,280.0,388.65,Desktop
88338,12.1,2635,0.36,280.0,315.49,Server
86006,35.35491103202847,2387,15.189008642602948,62.37555732484076,121.6232388535032,Server
85861,12.16,2727,0.39,225.0,381.6,Server
83971,12.33,2626,0.39,280.0,299.9,Desktop
81568,9.71,2569,0.31,280.0,291.31,Desktop
80842,35.35491103202847,3340,15.189008642602948,280.0,288.72,Desktop
77460,35.35491103202847,2564,15.189008642602948,62.37555732484076,121.6232388535032,Server
76455,14.09,2695,0.5,225.0,339.8,Server
71646,17.91,2097,0.52,200.0,358.23,Server
71576,10.5,2054,0.3,225.0,318.12,Server
68749,13.62,2145,0.43,225.0,305.55,Server
68505,35.35491103202847,2775,15.189008642602948,280.0,244.66,Server
68405,35.35491103202847,3346,15.189008642602948,280.0,244.3,Desktop
67748,18.39,2155,0.59,225.0,301.1,Server
67144,22.39,2742,0.91,225.0,298.42,Server
64727,35.35491103202847,1922,15.189008642602948,62.37555732484076,121.6232388535032,Server
63835,21.29,2694,0.9,280.0,227.98,Desktop
63495,14.11,2666,0.59,280.0,226.77,Desktop
62317,6.94,2385,0.27,270.0,230.81,Server
61689,17.63,2110,0.6,200.0,308.44,Server
60948,12.22,2975,0.6,240.0,253.95,Server
59732,21.03,2447,0.86,200.0,298.66,Server
57666,38.44,2965,1.98,200.0,288.33,Server
56728,31.69,2207,1.23,225.0,252.13,Server
56562,15.04,2563,0.68,240.0,235.68,Server
55358,35.35491103202847,2137,15.189008642602948,200.0,276.79,Server
54757,32.54,2678,1.59,280.0,195.56,Desktop
54416,10.67,2382,0.47,250.0,217.67,Server
53511,29.74,2580,1.43,225.0,237.83,Server
53112,16.74,2455,0.77,235.0,226.01,Server
51836,35.35491103202847,2439,15.189008642602948,300.0,172.79,Server
51656,35.35491103202847,3346,15.189008642602948,280.0,184.48,Desktop
51368,26.18,2081,1.06,180.0,285.38,Server
49386,35.35491103202847,2445,15.189008642602948,210.0,235.17,Server
49177,17.88,1843,0.67,180.0,273.21,Server
48995,18.17,1894,0.7,180.0,272.19,Server
48330,12.63,2453,0.64,230.0,210.13,Server
46295,23.17,1983,0.99,180.0,257.2,Server
46195,71.1,3498,5.38,105.0,439.96,Desktop
46085,7.69,2878,0.48,240.0,192.02,Server
45882,26.99,2947,1.73,190.0,241.48,Server
45860,35.35491103202847,2736,15.189008642602948,225.0,203.82,Server
45517,11.82,2522,0.65,185.0,246.04,Server
44243,56.72,4317,5.53,150.0,294.95,Desktop
43745,25.19,2383,1.37,185.0,236.46,Server
43056,22.61,2034,1.07,205.0,210.03,Server
42244,46.94,1941,2.16,180.0,234.69,Server
41871,18.95,1689,0.76,155.0,270.14,Server
41741,29.21,1970,1.38,180.0,231.9,Server
41578,35.35491103202847,3347,15.189008642602948,280.0,148.49,Desktop
41434,14.13,2406,0.82,205.0,202.12,Server
41360,35.35491103202847,3900,15.189008642602948,60.0,689.34,Desktop
41163,71.84,4217,7.36,241.0,170.8,Desktop
41077,68.47,4209,7.02,241.0,170.44,Desktop
40951,13.21,2446,0.79,240.0,170.63,Server
40879,44.77,2608,2.86,155.0,263.74,Server
40794,35.35491103202847,2386,15.189008642602948,62.37555732484076,121.6232388535032,Server
40767,5.47,2725,0.37,205.0,198.86,Server
40575,34.39,2610,2.21,155.0,261.77,Server
40472,31.62,1995,1.56,155.0,261.11,Server
40225,20.16,2696,1.35,280.0,143.66,Desktop
39457,100.39,3494,8.89,105.0,375.78,Desktop
39157,60.24,2738,4.21,105.0,372.92,Desktop
38944,29.98,2556,1.97,250.0,155.78,Server
38604,12.47,2296,0.74,205.0,188.31,Server
38281,75.21,4162,8.18,65.0,588.95,Desktop
38122,35.35491103202847,1329,15.189008642602948,62.37555732484076,121.6232388535032,Laptop
37809,35.35491103202847,1311,15.189008642602948,62.37555732484076,121.6232388535032,Laptop
37606,16.5,2455,1.08,205.0,183.44,Server
37575,4.24,2011,0.23,205.0,183.29,Server
37511,14.06,2362,0.89,165.0,227.34,Server
37264,33.0,2380,2.11,150.0,248.43,Server
37167,23.29,2148,1.35,255.0,145.75,Desktop
35726,67.41,4045,7.63,65.0,549.63,Desktop
35352,14.3,2426,0.98,205.0,172.45,Server
35328,22.0,2356,1.47,185.0,190.96,Server
34999,71.57,4032,8.25,35.0,999.97,Desktop
34721,35.35491103202847,3432,15.189008642602948,65.0,534.17,Desktop
34125,83.44,4047,9.9,190.0,179.61,Desktop
34110,97.18,4054,11.55,190.0,179.53,Desktop
33970,4.41,2315,0.3,165.0,205.88,Server
33792,17.48,2404,1.24,129.0,261.95,Server
33417,35.35491103202847,2708,15.189008642602948,280.0,119.35,Desktop
33408,33.41,2667,2.67,165.0,202.47,Desktop
33370,19.49,2399,1.4,150.0,222.46,Server
33015,29.61,1978,1.77,155.0,213.0,Server
32869,53.12,2786,4.5,105.0,313.04,Desktop
32751,91.23,2725,7.59,105.0,311.92,Desktop
32616,4.17,2138,0.27,205.0,159.1,Server
32480,15.69,1878,0.91,155.0,209.55,Server
32475,15.46,2290,1.09,250.0,129.9,Desktop
32410,8.42,2143,0.56,150.0,216.06,Server
32268,103.11,3987,12.74,65.0,496.43,Desktop
32223,17.23,2020,1.08,150.0,214.82,Server
31905,22.12,2566,1.78,165.0,193.37,Desktop
31680,21.06,2696,1.79,165.0,192.0,Server
31659,96.52,3948,12.04,65.0,487.07,Desktop
31631,43.75,1987,2.75,120.0,263.59,Server
31500,35.35491103202847,1863,15.189008642602948,210.0,150.0,Server
31372,35.35491103202847,2623,15.189008642602948,65.0,482.65,Desktop
31094,17.19,2377,1.31,62.37555732484076,121.6232388535032,Server
30660,59.27,2627,5.08,65.0,471.7,Desktop
30655,20.45,2631,1.76,165.0,185.79,Desktop
30616,35.35491103202847,2346,15.189008642602948,205.0,149.35,Server
30549,11.38,2537,0.95,205.0,149.02,Server
30433,45.49,2358,3.52,250.0,121.73,Desktop
30313,81.93,1719,4.65,180.0,168.4,Server
30220,8.92,2321,0.68,205.0,147.41,Server
30213,47.58,3946,6.21,45.0,671.4,Laptop
30162,13.94,2970,1.37,255.0,118.28,Desktop
30105,6.61,2572,0.57,205.0,146.85,Server
30103,5.01,2167,0.36,205.0,146.84,Server
30043,34.64,2179,2.51,135.0,222.54,Server
29981,30.28,2488,2.51,180.0,166.56,Desktop
29842,36.55,2474,3.03,165.0,180.86,Desktop
29714,48.16,3974,6.44,45.0,660.32,Laptop
29356,8.1,2381,0.66,200.0,146.78,Server
29049,35.35491103202847,2609,15.189008642602948,140.0,207.49,Server
28962,10.28,2182,0.77,150.0,193.08,Server
28915,18.96,2203,1.44,150.0,192.77,Server
28848,7.59,2264,0.6,200.0,144.24,Server
28619,37.07,2724,3.53,165.0,173.45,Desktop
28580,25.54,2437,2.18,150.0,190.54,Server
28411,33.77,2647,3.15,165.0,172.19,Desktop
28368,84.94,3485,10.43,105.0,270.17,Desktop
28271,113.09,1689,6.76,155.0,182.4,Server
28079,35.35491103202847,1085,15.189008642602948,62.37555732484076,121.6232388535032,Laptop
28037,40.96,2293,3.35,180.0,155.76,Desktop
27904,25.09,2790,2.51,165.0,169.12,Desktop
27617,10.23,1691,0.63,140.0,197.26,Server
27470,13.73,2013,1.01,165.0,166.48,Server
27445,35.35491103202847,1934,15.189008642602948,120.0,228.71,Server
27429,98.67,3965,14.26,150.0,182.86,Desktop
27391,59.94,3766,8.24,45.0,608.69,Laptop
27377,35.35491103202847,2123,15.189008642602948,165.0,165.92,Server
27325,13.77,2413,1.22,140.0,195.18,Server
27211,19.83,2290,1.67,150.0,181.41,Server
27186,104.17,3967,15.2,150.0,181.24,Desktop
27065,90.52,3397,11.36,65.0,416.38,Desktop
26901,19.12,2247,1.6,150.0,179.34,Server
26699,26.94,2525,2.55,165.0,161.81,Desktop
26696,39.26,2766,4.07,165.0,161.79,Desktop
26659,35.35491103202847,1903,15.189008642602948,62.37555732484076,121.6232388535032,Server
26657,13.4,2285,1.15,125.0,213.25,Server
26508,48.3,2490,4.54,165.0,160.65,Desktop
26485,11.28,1984,0.84,150.0,176.56,Server
26469,35.35491103202847,2285,15.189008642602948,250.0,105.88,Desktop
26446,43.68,2013,3.32,120.0,220.38,Server
26400,19.4,1826,1.34,165.0,160.0,Server
26288,10.66,2196,0.89,150.0,175.26,Server
25984,27.53,2810,2.98,165.0,157.48,Server
25974,14.19,2622,1.43,180.0,144.3,Server
25740,15.37,2396,1.43,125.0,205.92,Server
25644,35.35491103202847,3386,15.189008642602948,65.0,394.52,Desktop
25539,64.17,3519,8.84,125.0,204.31,Desktop
25532,35.35491103202847,2225,15.189008642602948,62.37555732484076,121.6232388535032,Server
25508,42.58,2850,4.76,105.0,242.93,Desktop
25484,34.48,1809,2.45,155.0,164.41,Server
25460,35.35491103202847,3428,15.189008642602948,35.0,727.44,Laptop
25396,35.35491103202847,1455,15.189008642602948,62.37555732484076,121.6232388535032,Server
25390,66.82,3563,9.38,125.0,203.12,Desktop
25291,25.32,2621,2.62,165.0,153.28,Desktop
25203,33.12,2482,3.26,180.0,140.01,Desktop
25191,19.85,2200,1.73,125.0,201.52,Server
25004,35.35491103202847,3361,15.189008642602948,65.0,384.68,Desktop
24925,6.89,1925,0.53,155.0,160.81,Server
24800,3.29,2050,0.27,125.0,198.4,Server
24786,35.35491103202847,2248,15.189008642602948,205.0,120.91,Server
24749,83.33,3429,11.55,125.0,197.99,Desktop
24745,35.35491103202847,2578,15.189008642602948,62.37555732484076,121.6232388535032,Server
24619,4.13,1937,0.33,145.0,169.79,Server
24545,105.34,3281,14.08,65.0,377.62,Desktop
24489,10.16,2190,0.91,165.0,148.42,Server
24446,7.85,2450,0.79,165.0,148.16,Server
24390,35.35491103202847,3354,15.189008642602948,35.0,696.86,Laptop
24352,35.35491103202847,3442,15.189008642602948,28.0,869.73,Laptop
24234,8.24,2290,0.78,150.0,161.56,Server
24147,86.55,3420,12.26,125.0,193.17,Desktop
23815,60.81,2845,7.26,105.0,226.81,Desktop
23814,62.67,3528,9.28,65.0,366.37,Desktop
23768,60.95,3167,8.12,125.0,190.14,Desktop
23629,40.53,3312,5.68,45.0,525.09,Laptop
23589,38.75,2200,3.61,120.0,196.57,Server
23566,26.66,1821,2.06,155.0,152.04,Server
23556,9.43,2209,0.88,145.0,162.45,Server
23530,75.66,3678,11.83,45.0,522.9,Laptop
23515,50.03,3358,7.14,80.0,293.94,Server
23512,8.7,1951,0.72,200.0,117.56,Server
23508,69.14,3141,9.24,125.0,188.06,Desktop
23501,43.6,3323,6.16,95.0,247.37,Server
23447,35.35491103202847,3311,15.189008642602948,45.0,521.04,Laptop
23432,7.65,2493,0.81,165.0,142.01,Server
23425,35.35491103202847,3333,15.189008642602948,45.0,520.55,Laptop
23292,62.11,2467,6.58,140.0,166.37,Desktop
23275,93.63,2735,11.0,105.0,221.67,Desktop
23215,58.77,2481,6.28,140.0,165.82,Server
23207,8.31,2248,0.8,145.0,160.05,Server
23179,8.3,2048,0.73,165.0,140.48,Server
23160,35.35491103202847,3230,15.189008642602948,45.0,514.67,Laptop
23120,35.35491103202847,3619,15.189008642602948,28.0,825.7,Laptop
23117,66.45,3443,9.9,65.0,355.65,Desktop
23055,56.45,3091,7.57,125.0,184.44,Desktop
23026,35.35491103202847,2423,15.189008642602948,180.0,127.92,Server
22997,23.04,3204,3.21,125.0,183.97,Server
22903,76.35,2300,7.67,180.0,127.24,Desktop
22851,13.74,2220,1.33,125.0,182.81,Server
22800,69.09,2673,8.1,65.0,350.76,Desktop
22769,42.24,3303,6.13,65.0,350.29,Desktop
22733,22.73,1840,1.84,140.0,162.38,Server
22716,61.81,2680,7.29,65.0,349.48,Desktop
22688,66.93,3295,9.72,35.0,648.24,Desktop
22683,40.51,2696,4.81,165.0,137.47,Desktop
22570,40.59,3298,5.93,45.0,501.56,Laptop
22566,35.35491103202847,3371,15.189008642602948,35.0,644.73,Desktop
22539,35.35491103202847,3362,15.189008642602948,65.0,346.75,Desktop
22315,35.35491103202847,3320,15.189008642602948,35.0,637.56,Desktop
22298,35.35491103202847,2051,15.189008642602948,62.37555732484076,121.6232388535032,Server
22291,7.04,2155,0.68,140.0,159.22,Server
22266,8.91,2224,0.89,150.0,148.44,Server
22215,35.35491103202847,3201,15.189008642602948,35.0,634.71,Laptop
22160,8.62,2592,1.01,165.0,134.3,Server
22117,15.73,2245,1.6,125.0,176.94,Server
22088,101.79,3377,15.56,65.0,339.82,Desktop
22066,44.13,2914,5.83,95.0,232.27,Server
22066,35.35491103202847,2299,15.189008642602948,140.0,157.62,Desktop
22005,7.4,1736,0.58,180.0,122.25,Server
21868,33.39,2604,3.98,165.0,132.54,Desktop
21803,10.97,1698,0.85,125.0,174.43,Server
21799,35.35491103202847,3143,15.189008642602948,125.0,174.39,Desktop
21755,23.94,2141,2.36,135.0,161.15,Server
21545,24.65,1963,2.25,145.0,148.59,Server
21494,35.35491103202847,2038,15.189008642602948,145.0,148.24,Server
21469,35.35491103202847,3083,15.189008642602948,45.0,477.09,Laptop
21447,73.96,3339,11.51,65.0,329.95,Desktop
21412,35.35491103202847,3145,15.189008642602948,35.0,611.76,Laptop
